OID_,Join_Count,TARGET_FID,FID_1,STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,STATEFP,COUNTYFP,COUNTYNS,GEOID,COUNTY_NAME
443,1,442,443,06,73388,02408774,0673388,South Taft,South Taft CDP,06,029,02054176,06029,Kern
444,1,443,444,06,09066,02409945,0609066,Burlingame,Burlingame city,06,081,00277305,06081,San Mateo
445,1,444,445,06,40928,02408589,0640928,Laytonville,Laytonville CDP,06,045,00277287,06045,Mendocino
446,1,445,446,06,08310,02409912,0608310,Brisbane,Brisbane city,06,081,00277305,06081,San Mateo
447,1,446,447,06,73815,02408800,0673815,Squirrel Mountain Valley,Squirrel Mountain Valley CDP,06,029,02054176,06029,Kern
448,1,447,448,06,14218,02409488,0614218,Clovis,Clovis city,06,019,00277274,06019,Fresno
449,1,448,449,06,46814,02408815,0646814,Mendocino,Mendocino CDP,06,045,00277287,06045,Mendocino
450,1,449,450,06,73868,02408801,0673868,Stallion Springs,Stallion Springs CDP,06,029,02054176,06029,Kern
451,1,450,451,06,05108,02409826,0605108,Belmont,Belmont city,06,081,00277305,06081,San Mateo
452,1,451,452,06,78666,02413389,0678666,Tiburon,Tiburon town,06,041,00277285,06041,Marin
453,1,452,453,06,77588,02410047,0677588,Taft Heights,Taft Heights CDP,06,029,02054176,06029,Kern
454,1,453,454,06,03092,02411651,0603092,Atherton,Atherton town,06,081,00277305,06081,San Mateo
455,1,454,455,06,77784,02410053,0677784,Talmage,Talmage CDP,06,045,00277287,06045,Mendocino
456,1,455,456,06,80784,02409363,0680784,Tupman,Tupman CDP,06,029,02054176,06029,Kern
457,1,456,457,06,41026,02628750,0641026,Leggett,Leggett CDP,06,045,00277287,06045,Mendocino
458,1,457,458,06,80588,02413403,0680588,Truckee,Truckee town,06,057,01682927,06057,Nevada
459,1,458,459,06,70364,02411834,0670364,Sausalito,Sausalito city,06,041,00277285,06041,Marin
460,1,459,460,06,81722,02409395,0681722,Valley Acres,Valley Acres CDP,06,029,02054176,06029,Kern
461,1,460,461,06,50874,02411225,0650874,Nevada City,Nevada City city,06,057,01682927,06057,Nevada
462,1,461,462,06,83863,02409538,0683863,Weedpatch,Weedpatch CDP,06,029,02054176,06029,Kern
463,1,462,463,06,14008,02628718,0614008,Cleone,Cleone CDP,06,045,00277287,06045,Mendocino
