ID,NAME,STATE_NAME,ST_ABBREV,TOTPOP_CY,POPDENS_CY,TOTHH_CY,TOTHU_CY,OWNER_CY,RENTER_CY,POPGRW10CY,HAI_CY,INCMORT_CY,TSPOP10_CY,TSHH10_CY,TSHU10_CY,MINORITYCY,DIVINDX_CY,MEDHINC_CY,PCI_CY,MEDVAL_CY,AVGVAL_CY,TOTPOP_FY,POPDENS_FY,TOTHH_FY,TOTHU_FY,POPGRWCYFY,POPGRW0010,AnnPopChange2010_2020,PercPopChange2010_2020,AnnHUChange2010_2020,PercHUChange2010_2020,AnnHHChange2010_2020,PercHHChange2010_2020,WHPWeightedPop,MIN_,MAX_,RANGE,MEAN,STD,SUM_,VARIETY,MAJORITY,MINORITY,MEDIAN,Shape__Area,Shape__Length
06075,San Francisco County,California,CA,881791,18812.4,377346,408176,137640,239706,0.89,53,45.8,806446,346343,377476,532493,74.4,116548,72510,1277300,1362383,918738,19600.7,392838,423645,0.82,0.36,0.8971820377594808,19.960209390795704,0.7849795699592432,8.132967393953523,0.8610148416464014,8.951530707997563,0.1680315798397234,0,3,3,0.1746987951807229,0.5191149496618296,290.0,4,0,3,0,121983160.67578125,93737.89334714763
06077,San Joaquin County,California,CA,766311,550.8,236842,252576,135098,101744,1.1,99,23.5,685541,215069,233867,538319,87.4,65263,27363,367486,430982,804323,578.1,247126,263725,0.97,1.97,1.120023671071757,34.53672386441867,0.7725651610262618,7.999846066353953,0.9690082269743217,10.123727733890053,0.3195926088920589,0,5,5,0.9060045004145119,1.2287946581307132,45900.0,6,0,5,0,3694347575.697754,321628.5847629687
06079,San Luis Obispo County,California,CA,285549,86.6,107417,123678,68636,38781,0.56,68,35.0,269824,102093,117443,92048,58.1,73808,38615,618512,698941,293916,89.1,110490,127456,0.58,0.89,0.5680447753772855,13.389474042727109,0.51862326311225,5.308958388324549,0.50963719228454,5.214853124112329,2.065558081202287,0,5,5,2.910263148970803,1.4062636781806768,343283.0,6,3,1,3,8601759274.70996,615253.6509733532
06081,San Mateo County,California,CA,746752,1665.3,267098,281148,158601,108497,0.38,61,39.7,719346,258156,271394,464571,79.4,127547,62492,1212130,1310529,760149,1695.2,271619,285683,0.36,0.16,0.3746065978690316,10.098233564485582,0.3537199326984597,3.5940367141499077,0.3410962026163977,3.4637970839337457,0.8212942123012844,0,5,5,2.6820903990417952,1.9302889354421393,42546.0,6,0,1,3,1159023733.9555664,279343.371483879
06083,Santa Barbara County,California,CA,446904,163.4,148609,160661,76975,71634,0.52,73,33.0,423725,142052,152830,255054,77.5,79394,37272,627384,803990,457015,167.1,151795,164182,0.45,0.6,0.5340122549945647,15.166524896944317,0.5009542259083011,5.123993980239481,0.45227476870774996,4.615915298623039,1.626091641670624,0,5,5,2.8052274054569115,1.497426517435313,273793.0,6,3,0,3,7122458790.029053,643230.6137479993
06085,Santa Clara County,California,CA,1920646,1488.8,649840,681145,357482,292358,0.74,66,36.0,1784841,605324,633059,1345769,80.1,128034,58159,1101716,1209895,1984503,1538.3,671125,702998,0.66,0.57,0.7360179157159585,21.452186920966295,0.7348023289970307,7.595816503675012,0.7121470608974612,7.3540781465793525,0.6818478176127178,0,5,5,2.901085331773575,1.8463331187097973,133917.0,6,4,1,3,3367072007.936035,334211.47343822074
06087,Santa Cruz County,California,CA,270370,607.3,96001,106148,55698,40303,0.29,64,38.0,262203,94291,104473,119313,73.2,89146,45149,810369,888153,272389,611.9,96695,107309,0.15,0.26,0.307194662270871,7.817330793602174,0.1591833813952892,1.6032850592976176,0.17989023951188177,1.813534695782206,2.5903262101106344,0,5,5,3.462906888720666,1.5925718081387126,54894.0,6,5,1,4,1156612737.7763672,225144.4948793974
06089,Shasta County,California,CA,179588,47.6,71485,78241,45071,26414,0.13,107,22.1,177296,70379,77347,38342,42.6,56434,30715,298854,342626,178866,47.4,71272,79555,-0.08,0.82,0.12852939128558116,2.9632694222141778,0.11498621159751199,1.1558302196594568,0.15604877228494463,1.5714914960428534,2.5411754615665694,0,5,5,3.451792024230187,1.2627466358305401,471822.0,6,4,1,4,9965541600.68164,523787.84898714937
06091,Sierra County,California,CA,3187,3.3,1453,2401,1078,375,-0.16,122,18.9,3232,1479,2328,565,36.9,52551,30637,237778,324327,3097,3.2,1410,2433,-0.57,-0.92,-0.1401128024650311,-1.9329896907216495,0.30923502177313544,3.1357388316151202,-0.1772008050608398,-1.757944557133198,3.6796038991180975,0,5,5,3.7405566600397613,1.1894276087773628,127942.0,6,4,1,4,2492429750.501465,282770.8675425051
06093,Siskiyou County,California,CA,44997,7.2,19557,24388,12669,6888,0.02,118,20.0,44906,19510,23921,11435,49.1,45837,26910,219439,269832,44004,7.0,19136,24738,-0.45,0.13,0.0202460969588536,0.38041887880941433,0.19353176962715324,1.9522595209230382,0.024064134703394302,0.24090210148641722,2.884400572258546,0,5,5,3.4746158792098085,1.508714222286578,783578.0,6,5,1,4,16439523694.15625,662866.4852805092
