"County","SegID","SegCustomerOut","SegCustomerMinutes","Duration","Start","End","CustomerThres","PctHU","PctTime","TotalHU"
"Alameda","42",3826,3772900,100,2019-09-03 12:50:00,2019-09-03 14:29:59,3096,0.61792798700187,0.0190258751902588,619166
"Alameda","43",5955,59550,10,2019-09-10 01:40:00,2019-09-10 01:49:59,3096,0.961777616988013,0.00190258751902588,619166
"Alameda","44",4109,163460,20,2019-09-10 02:20:00,2019-09-10 02:39:59,3096,0.663634631100545,0.00380517503805175,619166
"Alameda","45",6869,2851240,70,2019-09-10 06:40:00,2019-09-10 07:49:59,3096,1.10939554174486,0.0133181126331811,619166
"Alameda","46",5425,5847120,120,2019-09-16 14:10:00,2019-09-16 16:09:59,3096,0.876178601538198,0.0228310502283105,619166
"Alameda","47",7849,20048420,190,2019-09-16 22:50:00,2019-09-17 01:59:59,3096,1.26767296653886,0.0361491628614916,619166
"Alameda","48",6002,9387950,130,2019-09-22 05:00:00,2019-09-22 07:09:59,3096,0.969368473075072,0.0247336377473364,619166
"Alameda","49",3413,34130,10,2019-09-28 10:30:00,2019-09-28 10:39:59,3096,0.551225357981543,0.00190258751902588,619166
"Alameda","50",27038,8455500,60,2019-09-29 14:40:00,2019-09-29 15:39:59,3096,4.36684184855112,0.0114155251141553,619166
"Alameda","51",30316,4636996000,1300,2019-10-10 05:50:00,2019-10-11 03:29:59,3096,4.8962636837294,0.247336377473364,619166
"Alameda","52",3289,32890,10,2019-10-16 16:30:00,2019-10-16 16:39:59,3096,0.531198418517813,0.00190258751902588,619166
"Alameda","53",3123,31230,10,2019-10-18 14:40:00,2019-10-18 14:49:59,3096,0.504388160848625,0.00190258751902588,619166
"Alameda","54",74760,62816737050,3870,2019-10-27 03:30:00,2019-10-29 19:59:59,3096,12.0743064057135,0.736301369863014,619166
"Alameda","55",6661,9588360,120,2019-11-03 08:20:00,2019-11-03 10:19:59,3096,1.07580196587022,0.0228310502283105,619166
"Alameda","56",4262,6095040,120,2019-11-03 17:00:00,2019-11-03 18:59:59,3096,0.688345290277567,0.0228310502283105,619166
"Alameda","57",4018,995300,50,2019-11-04 05:30:00,2019-11-04 06:19:59,3096,0.648937441655388,0.00951293759512938,619166
"Alameda","58",4083,1469700,60,2019-11-26 23:00:00,2019-11-26 23:59:59,3096,0.659435434116214,0.0114155251141553,619166
"Alameda","59",13825,4821780,60,2019-11-27 04:00:00,2019-11-27 04:59:59,3096,2.2328422426296,0.0114155251141553,619166
"Alameda","60",3577,1287600,60,2019-12-16 06:10:00,2019-12-16 07:09:59,3096,0.577712600498089,0.0114155251141553,619166
"Alpine","1",1289,2526440,140,2019-01-07 08:20:00,2019-01-07 10:39:59,500,70.7464324917673,0.0266362252663623,1822
"Alpine","2",869,4224740,260,2019-02-06 20:30:00,2019-02-07 00:49:59,500,47.6948408342481,0.0494672754946728,1822
"Alpine","3",1356,7572800,320,2019-02-10 12:00:00,2019-02-10 17:19:59,500,74.423710208562,0.060882800608828,1822
"Alpine","4",1355,1097550,90,2019-04-20 21:00:00,2019-04-20 22:29:59,500,74.3688254665203,0.0171232876712329,1822
"Alpine","5",1355,216800,40,2019-04-20 23:10:00,2019-04-20 23:49:59,500,74.3688254665203,0.0076103500761035,1822
"Alpine","6",1347,1290240,120,2019-10-09 09:10:00,2019-10-09 11:09:59,500,73.9297475301866,0.0228310502283105,1822
"Alpine","7",855,136800,40,2019-10-09 11:30:00,2019-10-09 12:09:59,500,46.9264544456641,0.0076103500761035,1822
"Alpine","8",1820,2004872320,3520,2019-10-09 14:00:00,2019-10-12 00:39:59,500,99.8902305159166,0.669710806697108,1822
"Alpine","9",1349,1239400,100,2019-10-12 03:10:00,2019-10-12 04:49:59,500,74.03951701427,0.0190258751902588,1822
"Alpine","10",970,154859990,1270,2019-10-23 23:50:00,2019-10-24 20:59:59,500,53.238199780461,0.241628614916286,1822
"Amador","1",662,423680,80,2019-01-02 18:10:00,2019-01-02 19:29:59,500,3.46978353163164,0.015220700152207,19079
"Amador","2",1261,504560,70,2019-01-03 15:20:00,2019-01-03 16:29:59,500,6.60936107762461,0.0133181126331811,19079
"Amador","3",662,662000,100,2019-01-05 21:20:00,2019-01-05 22:59:59,500,3.46978353163164,0.0190258751902588,19079
"Amador","4",3077,1098480,60,2019-01-06 19:10:00,2019-01-06 20:09:59,500,16.1276796477803,0.0114155251141553,19079
"Amador","5",6647,19749500,250,2019-01-07 02:10:00,2019-01-07 06:19:59,500,34.8393521673044,0.0475646879756469,19079
"Amador","6",1367,3497440,160,2019-01-16 03:00:00,2019-01-16 05:39:59,500,7.16494575187379,0.030441400304414,19079
"Amador","7",562,5620,10,2019-01-17 03:30:00,2019-01-17 03:39:59,500,2.94564704649091,0.00190258751902588,19079
"Amador","8",3451,128756400,820,2019-01-17 07:50:00,2019-01-17 21:29:59,500,18.0879501022066,0.156012176560122,19079
"Amador","9",2939,3860760,120,2019-01-21 01:50:00,2019-01-21 03:49:59,500,15.4043712982861,0.0228310502283105,19079
"Amador","10",3222,13316880,240,2019-01-21 04:10:00,2019-01-21 08:09:59,500,16.8876775512343,0.045662100456621,19079
"Amador","11",2108,9185400,210,2019-01-22 13:00:00,2019-01-22 16:29:59,500,11.0487971067666,0.0399543378995434,19079
"Amador","12",659,792110,110,2019-01-22 17:30:00,2019-01-22 19:19:59,500,3.45405943707741,0.0209284627092846,19079
"Amador","13",1420,834240,80,2019-01-28 01:10:00,2019-01-28 02:29:59,500,7.44273808899838,0.015220700152207,19079
"Amador","14",1186,11860,10,2019-01-29 03:10:00,2019-01-29 03:19:59,500,6.21625871376907,0.00190258751902588,19079
"Amador","15",4030,161973900,660,2019-02-03 13:10:00,2019-02-04 00:09:59,500,21.1227003511714,0.125570776255708,19079
"Amador","16",11739,5940702240,4070,2019-02-05 06:10:00,2019-02-08 01:59:59,500,61.5283819906704,0.774353120243531,19079
"Amador","17",1377,20349000,420,2019-02-10 13:40:00,2019-02-10 20:39:59,500,7.21735940038786,0.0799086757990868,19079
"Amador","18",2404,11236570,310,2019-02-10 22:20:00,2019-02-11 03:29:59,500,12.6002411027832,0.0589802130898021,19079
"Amador","19",2273,117203400,920,2019-02-13 06:00:00,2019-02-13 21:19:59,500,11.9136223072488,0.175038051750381,19079
"Amador","20",1377,11450070,410,2019-02-14 16:40:00,2019-02-14 23:29:59,500,7.21735940038786,0.0780060882800609,19079
"Amador","21",12520,770510280,1160,2019-02-16 13:20:00,2019-02-17 08:39:59,500,65.6218879396195,0.220700152207002,19079
"Amador","22",1235,782480,80,2019-02-17 23:10:00,2019-02-18 00:29:59,500,6.47308559148802,0.015220700152207,19079
"Amador","23",613,47256300,900,2019-02-18 05:20:00,2019-02-18 20:19:59,500,3.21295665391268,0.171232876712329,19079
"Amador","24",1148,11480,10,2019-03-05 18:40:00,2019-03-05 18:49:59,500,6.01708684941559,0.00190258751902588,19079
"Amador","25",994,9940,10,2019-04-09 19:00:00,2019-04-09 19:09:59,500,5.20991666229886,0.00190258751902588,19079
"Amador","26",1378,9118460,260,2019-04-10 00:30:00,2019-04-10 04:49:59,500,7.22260076523927,0.0494672754946728,19079
"Amador","27",2777,55754100,450,2019-04-10 12:30:00,2019-04-10 19:59:59,500,14.5552701923581,0.0856164383561644,19079
"Amador","28",3771,37710,10,2019-05-08 02:40:00,2019-05-08 02:49:59,500,19.765186854657,0.00190258751902588,19079
"Amador","29",2841,17929240,280,2019-06-13 04:40:00,2019-06-13 09:19:59,500,14.8907175428482,0.0532724505327245,19079
"Amador","30",839,4160930,230,2019-06-26 17:40:00,2019-06-26 21:29:59,500,4.39750511033073,0.0437595129375951,19079
"Amador","31",1074,10740,10,2019-07-10 23:50:00,2019-07-10 23:59:59,500,5.62922585041145,0.00190258751902588,19079
"Amador","32",13118,77438500,250,2019-07-27 16:20:00,2019-07-27 20:29:59,500,68.756224120761,0.0475646879756469,19079
"Amador","33",806,1478250,150,2019-08-03 14:30:00,2019-08-03 16:59:59,500,4.22454007023429,0.0285388127853881,19079
"Amador","34",2325,837000,60,2019-08-21 16:50:00,2019-08-21 17:49:59,500,12.186173279522,0.0114155251141553,19079
"Amador","35",1111,576880,80,2019-09-12 22:10:00,2019-09-12 23:29:59,500,5.82315634991352,0.015220700152207,19079
"Amador","36",1069,797200,100,2019-09-26 16:50:00,2019-09-26 18:29:59,500,5.60301902615441,0.0190258751902588,19079
"Amador","38",17175,3473000,50,2019-10-09 11:30:00,2019-10-09 12:19:59,500,90.0204413229205,0.00951293759512938,19079
"Amador","40",2831,8182750,250,2019-10-20 14:20:00,2019-10-20 18:29:59,500,14.8383038943341,0.0475646879756469,19079
"Amador","41",1508,60320,20,2019-10-23 19:20:00,2019-10-23 19:39:59,500,7.90397819592222,0.00380517503805175,19079
"Amador","42",16653,2221807170,1590,2019-10-23 21:30:00,2019-10-24 23:59:59,500,87.2844488704859,0.302511415525114,19079
"Amador","45",2036,49743150,530,2019-11-27 11:40:00,2019-11-27 20:29:59,500,10.6714188374653,0.100837138508371,19079
"Amador","46",916,3030400,200,2019-11-27 21:10:00,2019-11-28 00:29:59,500,4.80109020388909,0.0380517503805175,19079
"Amador","47",4550,213331860,1260,2019-11-28 04:10:00,2019-11-29 01:09:59,500,23.8482100739032,0.23972602739726,19079
"Amador","48",3011,1066440,60,2019-12-03 19:00:00,2019-12-03 19:59:59,500,15.7817495675874,0.0114155251141553,19079
